RequirementText,issueid
Each movement command shall specify one of the following command types: {{SET_MONITORING_FREQUENCY  SET_STATE_FREQUENCY}},DD-768
The _RouteCreationUI_ shall provide capabilities to modify existing routes.,DD-767
The _UIMiddleware_ accepts resend waypoint commands associated with a unique {{UAV_ID}} and forwards to Dronology,DD-764
UAV State messages shall be formatted as JSON objects and contain the {{UAV_ID}} and the {{MODE}},DD-763
If a user attempts to create a route without providing a name then the system shall not save the route.,DD-762
The display of active flight plans shall include time in flight  traveled distance  remaining distance  completed and total waypoints.,DD-761
The active flight plan shall be displayed at the top of the list of pending flight plans.,DD-760
The properties that the _GCS_ sends to the _GCSMiddleware_ shall be defined in JSON,DD-757
The _GCS_ shall send the UAV's current properties to the _GCSMiddleware_ when they are received from the UAV.,DD-756
The _GCS_ requests the UAV's properties every {{UAV_MESSAGE_MONITORING_FREQUENCY}} seconds.,DD-755
The _GCS_ shall send the UAV's current coordinates to the _GCSMiddleware_ when they are received from the UAV.,DD-753
The _GCS_ requests the UAV's current coordinates every {{UAV_MESSAGE_STATE_FREQUENCY}} seconds.,DD-752
After {{UAV_RECONNECT_TIMEOUT}} has been reached  if connection to the UAV can not be reestablished  the _GCS_ shall send a UAV Timeout message containing the {{UAV_ID}} to the _GCSMiddleware_.,DD-750
If the connection to an UAV is lost and the _GCS_ fails to reconnect  the _GCS_ shall notify the _GCSMiddleware_.,DD-749
If the _GCS_ receives notification that the UAV is incorrectly registered then the _GCS_ closes the connection with the UAV.,DD-748
The _GCS_ shall send the home location  a time stamp  and the {{UAV_ID}} to the _GCSMiddleware_.,DD-747
When the _GCS_ receives a set frequency command from the _GCSMiddleware_ it shall adjust its messange frequency accordingly.,DD-745
Message frequency shall be defined in units of seconds.,DD-744
The default message frequency for UAV state messages shall be {{UAV_MESSAGE_STATE_FREQUENCY}},DD-743
The default message frequency for UAV monitoring messages shall be {{UAV_MESSAGE_MON_FREQUENCY}},DD-742
The _GCS_ shall transform commands into a vehicle specific format.,DD-740
When a socket error or time-out occurs  all UAVs associated with the _GCS_ shall be deactivated.,DD-737
The {{TAKEOFF}} command shall specify the target altitude,DD-735
The {{SET_VELOCITY}} shall specify a velocity vector specified using NED (North  East  Down) directions.,DD-734
The {{SET_GROUNDSPEED}} command shall specify ground speed in meters per second.,DD-733
The {{GOTO_WAYPOINT}} command shall include a target latitude  longitude  and altitude coordinate,DD-732
Each movement command shall specify one of the following command types: {{GOTO_WAYPOINT  SET_GROUNDSPEED  SET_VELOCITY  TAKEOFF  LAND  HOVER}},DD-731
Each command shall include a unique {{UAV_ID}},DD-730
The _GCSMiddleware_ shall be able to handle and send a setStateFrequency command to the respective _GCS_ containing the desired Frequency in ms.,DD-728
The _GCSMiddleware_ shall be able to handle and send a setMonitoringFrequency command to the respective _GCS_ containing the desired Frequency in ms.,DD-727
UAV State messages shall be formatted as JSON objects and contain both mandatory and optional elements.,DD-724
UAV Monitoring messages shall be formatted as JSON objects and contain arbitrary information regarding a single UAV.,DD-723
When the activation request is denied  the _GCSMiddleware_ shall send a predefined activation denied message to the _GCS_.,DD-721
When the activation request is approved  the _GCSMiddleware_ shall send a predefined activation confirmation message to the _GCS_.,DD-720
The _GCS_ shall be informed of the result of the activation request.,DD-719
The _GCSMiddleware_ shall call the _UAVActivationManager_ to request UAV activation.,DD-718
In step three  the _GCS_ announces its current set of recognized UAVs to the _GCSMiddleware_.,DD-716
In step two  the _GCSMiddleware_ accepts the connection and sends a handshake message.,DD-715
Each _GCS_ connecting to the  _GCSMiddleware_ shall be identified through a unique {{GROUNDSTATION_ID}}.,DD-713
The _GCSMiddleware_ shall only accept one connection for each _GCS_.,DD-712
The _GCSMiddleware_ shall accept connections with multiple _GCS_ ,DD-711
The _GCSMiddleware_ shall specify a predefined {{GCS_PORT}} where _GCS_ can connect.,DD-710
A monitoring message shall contain a (hierarchical) identifier describing the topic  a message type  a timestamp  and arbitrary serializeable data attached to the message,DD-707
